wavelength_nm,refl
8800,97.182
801,97.188
802,97.193
803,97.198
804,97.204
805,97.209
806,97.214
807,97.219
808,97.225
809,97.230
810,97.235
811,97.240
812,97.245
813,97.250
814,97.255
815,97.261
816,97.266
817,97.271
818,97.276
819,97.281
820,97.286
821,97.291
822,97.296
823,97.301
824,97.305
825,97.310
826,97.315
827,97.320
828,97.325
829,97.330
830,97.335
831,97.339
832,97.344
833,97.349
834,97.354
835,97.358
836,97.363
837,97.368
838,97.373
839,97.377
840,97.382
841,97.387
842,97.391
843,97.396
844,97.400
845,97.405
846,97.410
847,97.414
848,97.419
849,97.423
850,97.428
851,97.432
852,97.436
853,97.440
854,97.444
855,97.449
856,97.453
857,97.457
858,97.461
859,97.465
860,97.469
861,97.473
862,97.477
863,97.481
864,97.486
865,97.490
866,97.494
867,97.498
868,97.502
869,97.506
870,97.510
871,97.514
872,97.518
873,97.521
874,97.525
875,97.529
876,97.533
877,97.537
878,97.541
879,97.545
880,97.549
881,97.553
882,97.556
883,97.560
884,97.564
885,97.568
886,97.572
887,97.575
888,97.579
889,97.583
890,97.587
891,97.590
892,97.594
893,97.598
894,97.601
895,97.605
896,97.609
897,97.613
898,97.616
899,97.620
900,97.623
901,97.628
902,97.632
903,97.636
904,97.640
905,97.644
906,97.648
907,97.652
908,97.656
909,97.660
910,97.664
911,97.668
912,97.672
913,97.676
914,97.680
915,97.684
916,97.688
917,97.692
918,97.696
919,97.700
920,97.704
921,97.708
922,97.712
923,97.715
924,97.719
925,97.723
926,97.727
927,97.731
928,97.734
929,97.738
930,97.742
931,97.746
932,97.750
933,97.753
934,97.757
935,97.761
936,97.764
937,97.768
938,97.772
939,97.775
940,97.779
941,97.783
942,97.786
943,97.790
944,97.794
945,97.797
946,97.801
947,97.804
948,97.808
949,97.811
950,97.815
951,97.819
952,97.823
953,97.828
954,97.832
955,97.836
956,97.840
957,97.844
958,97.848
959,97.853
960,97.857
961,97.861
962,97.865
963,97.869
964,97.873
965,97.877
966,97.881
967,97.885
968,97.889
969,97.893
970,97.897
971,97.901
972,97.905
973,97.909
974,97.913
975,97.917
976,97.920
977,97.924
978,97.928
979,97.932
980,97.936
981,97.940
982,97.944
983,97.947
984,97.951
985,97.955
986,97.959
987,97.962
988,97.966
989,97.970
990,97.974
991,97.977
992,97.981
993,97.985
994,97.988
995,97.992
996,97.996
997,97.999
998,98.003
999,98.007
1000,98.010
1001,98.012
1002,98.014
1003,98.016
1004,98.017
1005,98.019
1006,98.021
1007,98.023
1008,98.024
1009,98.026
1010,98.028
1011,98.030
1012,98.031
1013,98.033
1014,98.035
1015,98.037
1016,98.038
1017,98.040
1018,98.042
1019,98.044
1020,98.045
1021,98.047
1022,98.049
1023,98.051
1024,98.052
1025,98.054
1026,98.056
1027,98.058
1028,98.059
1029,98.061
1030,98.063
1031,98.065
1032,98.066
1033,98.068
1034,98.070
1035,98.071
1036,98.073
1037,98.075
1038,98.077
1039,98.078
1040,98.080
1041,98.082
1042,98.083
1043,98.085
1044,98.087
1045,98.088
1046,98.090
1047,98.092
1048,98.094
1049,98.095
1050,98.097
1051,98.099
1052,98.100
1053,98.102
1054,98.104
1055,98.105
1056,98.107
1057,98.109
1058,98.110
1059,98.112
1060,98.114
1061,98.115
1062,98.117
1063,98.119
1064,98.120
1065,98.122
1066,98.124
1067,98.125
1068,98.127
1069,98.129
1070,98.130
1071,98.132
1072,98.133
1073,98.135
1074,98.137
1075,98.138
1076,98.140
1077,98.142
1078,98.143
1079,98.145
1080,98.146
1081,98.148
1082,98.150
1083,98.151
1084,98.153
1085,98.155
1086,98.156
1087,98.158
1088,98.159
1089,98.161
1090,98.163
1091,98.164
1092,98.166
1093,98.167
1094,98.169
1095,98.171
1096,98.172
1097,98.174
1098,98.175
1099,98.177
1100,98.178
1101,98.180
1102,98.182
1103,98.183
1104,98.185
1105,98.186
1106,98.188
1107,98.189
1108,98.191
1109,98.193
1110,98.194
1111,98.196
1112,98.197
1113,98.199
1114,98.200
1115,98.202
1116,98.203
1117,98.205
1118,98.207
1119,98.208
1120,98.210
1121,98.211
1122,98.213
1123,98.214
1124,98.216
1125,98.217
1126,98.219
1127,98.220
1128,98.222
1129,98.223
1130,98.225
1131,98.226
1132,98.228
1133,98.229
1134,98.231
1135,98.232
1136,98.234
1137,98.235
1138,98.237
1139,98.238
1140,98.240
1141,98.241
1142,98.243
1143,98.244
1144,98.246
1145,98.247
1146,98.249
1147,98.250
1148,98.252
1149,98.253
1150,98.255
1151,98.256
1152,98.258
1153,98.259
1154,98.261
1155,98.262
1156,98.264
1157,98.265
1158,98.266
1159,98.268
1160,98.269
1161,98.271
1162,98.272
1163,98.274
1164,98.275
1165,98.277
1166,98.278
1167,98.279
1168,98.281
1169,98.282
1170,98.284
1171,98.285
1172,98.287
1173,98.288
1174,98.290
1175,98.291
1176,98.292
1177,98.294
1178,98.295
1179,98.297
1180,98.298
1181,98.299
1182,98.301
1183,98.302
1184,98.304
1185,98.305
1186,98.306
1187,98.308
1188,98.309
1189,98.311
1190,98.312
1191,98.313
1192,98.315
1193,98.316
1194,98.318
1195,98.319
1196,98.320
1197,98.322
1198,98.323
1199,98.325
1200,98.326
1300, 98.5
1400, 98.6
1500, 98.65
1600, 98.7
1700, 98.75
1800, 98.76
1900, 98.78
2000, 98.8
2100, 98.85
2200, 98.9
2300, 98.9
2400, 98.95
2500, 98.95
2600, 98.95


